id,title,placename,state,lga,parish,feature_term,latitude,longitude,source,flag,description,datestart,dateend,linkback,tlcmaplink,layerlink,state_id
a17a6d,Deadmans Point,Deadmans Point,TAS,Tasman,,Point,-43.054,147.834,TAS LGA,Only accurate to LGA,Superseded,,,,http://tlcmap.org/ghap/search?id=a17a6d,http://tlcmap.org/ghap,1288
a13dfc,Adventure Bay,Adventure Bay,TAS,Kingborough,,bay1,-43.31000137,147.3399963,Australian Gazetteer,,,,,,http://tlcmap.org/ghap/search?id=a13dfc,http://tlcmap.org/ghap,1288
a1808c,Fortescue Forest Reserve,Fortescue Forest Reserve,TAS,Tasman,,Reserve,-43.054,147.834,TAS LGA,Only accurate to LGA,Superseded,,,,http://tlcmap.org/ghap/search?id=a1808c,http://tlcmap.org/ghap,1288
a18907,Judds Falls,Judds Falls,TAS,Derwent Valley,,Waterfall,-42.813,146.423,TAS LGA,Only accurate to LGA,Superseded,,,,http://tlcmap.org/ghap/search?id=a18907,http://tlcmap.org/ghap,1288
a13dfd,Bruny Island,Bruny Island,TAS,KINGBOROUGH,,island1,-43.29000092,147.2799988,Australian Gazetteer,,,,,,http://tlcmap.org/ghap/search?id=a13dfd,http://tlcmap.org/ghap,1288
a18aa8,Lady Bay,Lady Bay,TAS,Tasman,,Bay,-43.054,147.834,TAS LGA,Only accurate to LGA,Superseded,,,,http://tlcmap.org/ghap/search?id=a18aa8,http://tlcmap.org/ghap,1288
a18ad7,Lake Anthony,Lake Anthony,TAS,West Coast,,Lake,-42.296,145.628,TAS LGA,Only accurate to LGA,Superseded,,,,http://tlcmap.org/ghap/search?id=a18ad7,http://tlcmap.org/ghap,1288
a13dfe,Penguin Island,Penguin Island,TAS,KINGBOROUGH,,island1,-43.34999847,147.3600006,Australian Gazetteer,,,,,,http://tlcmap.org/ghap/search?id=a13dfe,http://tlcmap.org/ghap,1288
a18c5f,Lanka Mine,Lanka Mine,TAS,Dorset,,Mine,-41.0,148.0299988,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a18c5f,http://tlcmap.org/ghap,1288
a13dff,Gordon River,Gordon River,TAS,DERWENT VALLEY,,river,-42.43999863,145.6600037,Australian Gazetteer,,,,,,http://tlcmap.org/ghap/search?id=a13dff,http://tlcmap.org/ghap,1288
a18dd1,Little Fisher Falls,Little Fisher Falls,TAS,Meander Valley,,Waterfall,-41.627,146.486,TAS LGA,Only accurate to LGA,Superseded,,,,http://tlcmap.org/ghap/search?id=a18dd1,http://tlcmap.org/ghap,1288
a13e00,Recherche Bay,Recherche Bay,TAS,HUON VALLEY,,bay1,-43.54999924,146.8999939,Australian Gazetteer,,,,,,http://tlcmap.org/ghap/search?id=a13e00,http://tlcmap.org/ghap,1288
a193ad,Mount Bramich,Mount Bramich,TAS,Flinders,,Mountain,-40.119,148.096,TAS LGA,Only accurate to LGA,Superseded,,,,http://tlcmap.org/ghap/search?id=a193ad,http://tlcmap.org/ghap,1288
a13e01,New Norfolk,New Norfolk,TAS,DERWENT VALLEY,,locality (bounded),-42.77999878,147.0500031,Australian Gazetteer,,,,,,http://tlcmap.org/ghap/search?id=a13e01,http://tlcmap.org/ghap,1288
a193dc,Mount Cracroft,Mount Cracroft,TAS,West Coast,,Mountain,-42.296,145.628,TAS LGA,Only accurate to LGA,Unofficial,,,,http://tlcmap.org/ghap/search?id=a193dc,http://tlcmap.org/ghap,1288
a1981e,Old Pier Beach,Old Pier Beach,TAS,Dorset,,Beach,-41.07,147.709,TAS LGA,Only accurate to LGA,Superseded,,,,http://tlcmap.org/ghap/search?id=a1981e,http://tlcmap.org/ghap,1288
a19a61,Pearces Reserve,Pearces Reserve,TAS,Hobart,,Park,-42.898,147.288,TAS LGA,Only accurate to LGA,Official,,,,http://tlcmap.org/ghap/search?id=a19a61,http://tlcmap.org/ghap,1288
a168ff,Meredith Peak,Meredith Peak,TAS,SOUTHERN MIDLANDS,,hill,-42.434,147.401,TAS LGA,Only accurate to LGA,unidentified hill S of Spring Hill Tier and Constitution Hill,,,,http://tlcmap.org/ghap/search?id=a168ff,http://tlcmap.org/ghap,1288
a16b31,Abels Bay,Abels Bay,TAS,Huon Valley,,Bay,-43.22999954,147.0899963,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b31,http://tlcmap.org/ghap,1288
a16b32,Abels Bay,Abels Bay,TAS,Huon Valley,,Suburb/Locality,-43.22000122,147.0899963,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b32,http://tlcmap.org/ghap,1288
a19c48,Punchbowl Reserve,Punchbowl Reserve,TAS,Launceston,,Reserve,-41.361,147.304,TAS LGA,Only accurate to LGA,Official,,,,http://tlcmap.org/ghap/search?id=a19c48,http://tlcmap.org/ghap,1288
a16b33,Abels Creek,Abels Creek,TAS,West Coast,,Stream,-42.56000137,145.6699982,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b33,http://tlcmap.org/ghap,1288
a19c49,Punchbowl,Punchbowl,TAS,Northern Midlands,,Hill,-41.84,147.46,TAS LGA,Only accurate to LGA,Superseded,,,,http://tlcmap.org/ghap/search?id=a19c49,http://tlcmap.org/ghap,1288
a19f57,Rosevears,Rosevears,TAS,West Tamar,,Electorate,-41.28,146.865,TAS LGA,Only accurate to LGA,Official,,,,http://tlcmap.org/ghap/search?id=a19f57,http://tlcmap.org/ghap,1288
a1a16c,Second Little Beach,Second Little Beach,TAS,West Tamar,,Beach,-41.28,146.865,TAS LGA,Only accurate to LGA,Superseded,,,,http://tlcmap.org/ghap/search?id=a1a16c,http://tlcmap.org/ghap,1288
a1a1b2,Seventy Mile Creek,Seventy Mile Creek,TAS,Derwent Valley,,Stream,-42.813,146.423,TAS LGA,Only accurate to LGA,Unofficial,,,,http://tlcmap.org/ghap/search?id=a1a1b2,http://tlcmap.org/ghap,1288
a1a1e1,Shark Cove,Shark Cove,TAS,Flinders,,Cove,-40.5,148.1100006,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a1a1e1,http://tlcmap.org/ghap,1288
a1a779,Tasman Island,Tasman Island,TAS,Tasman,,Island,-43.22999954,148.0,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a1a779,http://tlcmap.org/ghap,1288
a16b34,Abels Hill,Abels Hill,TAS,Launceston,,Hill,-41.45000076,147.2100067,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b34,http://tlcmap.org/ghap,1288
a16b35,Abels Marsh,Abels Marsh,TAS,Derwent Valley,,Swamp,-42.66999817,147.0500031,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b35,http://tlcmap.org/ghap,1288
a16b36,Abeona Creek,Abeona Creek,TAS,King Island,,Stream,-39.84000015,144.1100006,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b36,http://tlcmap.org/ghap,1288
a16b37,Abeona Head,Abeona Head,TAS,Huon Valley,,Point,-43.50999832,146.1600037,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b37,http://tlcmap.org/ghap,1288
a16b38,Abercrombie,Abercrombie,TAS,Northern Midlands,,Place Name,-41.93000031,147.4100037,Australian Gazetteer,,Unofficial,,,,http://tlcmap.org/ghap/search?id=a16b38,http://tlcmap.org/ghap,1288
a16b39,Aberdeen,Aberdeen,TAS,Devonport,,Suburb/Locality,-41.24000168,146.3200073,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b39,http://tlcmap.org/ghap,1288
a16b3a,Aberfoyle Creek,Aberfoyle Creek,TAS,Northern Midlands,,Stream,-41.63000107,147.75,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b3a,http://tlcmap.org/ghap,1288
a1a84c,The Deep Hole,The Deep Hole,TAS,Glamorgan-Spring Bay,,Stream,-42.266,147.97,TAS LGA,Only accurate to LGA,Superseded,,,,http://tlcmap.org/ghap/search?id=a1a84c,http://tlcmap.org/ghap,1288
a1a898,The Iron Rocks,The Iron Rocks,TAS,Northern Midlands,,Beach,-41.84,147.46,TAS LGA,Only accurate to LGA,Superseded,,,,http://tlcmap.org/ghap/search?id=a1a898,http://tlcmap.org/ghap,1288
a16b3b,Aberfoyle Hill,Aberfoyle Hill,TAS,Dorset,,Hill,-40.90999985,147.9400024,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b3b,http://tlcmap.org/ghap,1288
a16b3c,Abo Creek,Abo Creek,TAS,West Coast,,Stream,-42.296,145.628,TAS LGA,Only accurate to LGA,Official,,,,http://tlcmap.org/ghap/search?id=a16b3c,http://tlcmap.org/ghap,1288
a16b3d,Abrahams Creek,Abrahams Creek,TAS,Break O'Day,,Stream,-41.47999954,147.6900024,Australian Gazetteer,,Official,,,,http://tlcmap.org/ghap/search?id=a16b3d,http://tlcmap.org/ghap,1288
a1a899,The Island,The Island,TAS,Central Highlands,,Island,-42.212,146.646,TAS LGA,Only accurate to LGA,Superseded,,,,http://tlcmap.org/ghap/search?id=a1a899,http://tlcmap.org/ghap,1288
